Similarity: 0.00Test #1, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #2, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #3, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #4, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #5, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #6, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #7, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #8, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #9, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #10, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_add.txt, Similarity: 0.00
Test #1, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #2, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #3, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #4, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #5, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #6, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #7, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #8, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #9, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #10, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_del.txt, Similarity: 0.00
Test #1, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #2, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #3, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #4, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #5, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #6, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #7, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #8, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #9, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #10, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_1.txt, Similarity: 0.00
Test #1, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #2, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #3, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #4, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #5, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #6, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #7, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #8, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #9, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #10, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_10.txt, Similarity: 0.00
Test #1, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_15.txt, Similarity: 0.00
Test #2, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_15.txt, Similarity: 0.00
Test #3, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_15.txt, Similarity: 0.00
Test #4, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_15.txt, Similarity: 0.00
Test #5, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_15.txt, Similarity: 0.00
Test #6, File: C:\Users\x\Desktop\_3122004713\text\orig_0.8_dis_15.txt, Similarity: 0.00
